Date,Detail,Amount,Type
2024/1/2 18:28,Weizhen,2.10,Living
2024/1/2 13:00,Weizhen,12.00,Living
2024/1/1 13:31,Zhiwei,111.43,Living
2024/1/1 8:31,ICBC,12,Income
2024/1/1 1:43,Huanan,140.25,Living
2024/1/1 0:55,Red packets,2.00,Entertainment
2024/1/1 0:54,Red packets,3.00,Entertainment
2024/1/1 0:48,Red packets,8.00,Entertainment
2024/1/1 0:46,Red packets,10.00,Entertainment
2024/1/1 0:45,Red packets,11.00,Entertainment
2024/1/1 0:43,Red packets,35.00,Entertainment
2024/8/31 15:52,Tencent,15.00,Entertainment
2024/8/26 19:42,Meat buns,8.00,Catering
2024/8/26 19:11,Oily noodles,14.90,Catering
2024/8/26 1:23,STAYREAL,229.00,Living
2024/8/25 18:06,KSAMIYA,100.00,Catering
2024/8/25 11:44,PDD,9.99,Shopping
2024/8/22 10:07,Soup dumplings,6.50,Catering
2024/8/20 8:59,Beef broth,15.00,Catering
2024/8/19 12:27,Aviation restaurant supermarket,3.00,Shopping
2024/8/18 8:20,Tofu soup,7.00,Catering
2024/8/17 14:39,Meituan,19.90,Catering
2024/8/15 11:44,PDD,9.90,Shopping
2024/8/15 11:44,PDD,69.29,Shopping
2024/8/14 21:04,Meituan,23.78,Catering
2024/8/14 16:52,Master Bao,42.00,Shopping
2024/8/13 19:19,Meituan,26.26,Catering
2024/8/13 13:41,Morning Glory,22.00,Shopping
2024/8/12 9:55,Tofu soup,7.00,Catering
2024/8/10 20:25,Yitian,156.00,Living
2024/8/10 14:51,Huayuzhu,3.00,Living
2024/8/10 10:12,M,438.00,Living
2024/8/10 6:27,Tofu soup,7.00,Catering
2024/8/9 11:29,Meituan,18.90,Catering
2024/8/7 11:22,Meituan,18.90,Catering
2024/8/6 19:46,Meituan,18.00,Catering
2024/8/6 11:25,Meituan,17.80,Catering
2024/8/5 11:24,Meituan,18.50,Catering
2024/8/3 17:44,Meituan,21.80,Catering
2024/8/2 19:23,Benmu,20.00,Catering
2024/8/2 19:08,Missa Ice City,15.30,Catering
2024/8/2 19:04,Master Bao,41.12,Catering
2024/8/2 11:17,Meituan,17.80,Catering
2024/8/2 9:20,Snack,1.00,Catering
2024/8/1 20:42,Oily noodles,15.90,Catering
2024/8/1 16:40,ICBC,8,Income
2024/8/1 12:33,Smart charging platform,1.00,Living
2024/8/1 11:32,Meituan,16.80,Catering
2024/7/31 19:48,Meituan,22.90,Catering
2024/7/31 15:55,Tencent,15.00,Entertainment
2024/7/30 19:10,Meituan,39.60,Catering
2024/7/30 11:30,Meituan,23.10,Catering
2024/7/29 18:56,Meituan,17.36,Catering
2024/7/27 22:13,Aviation restaurant supermarket,2.00,Shopping
2024/7/26 19:52,Meituan,17.26,Catering
2024/7/25 19:07,Xiguanwei,71.70,Catering
2024/7/25 18:49,Master Bao,23.48,Shopping
2024/7/25 10:20,Snack,1.00,Catering
2024/7/25 8:00,Snack,2.00,Catering
2024/7/23 19:50,Meituan,32.90,Catering
2024/7/23 16:20,Snack,2.00,Catering
2024/7/23 10:55,Meituan,17.00,Catering
2024/7/22 15:27,Snack,2.00,Catering
2024/7/22 12:11,Meituan,20.40,Catering
2024/7/22 11:48,Morning Glory,2.00,Shopping
2024/7/21 12:29,Yitian,7.00,Living
2024/7/21 12:27,Mingxin,16.40,Living
2024/7/21 12:27,Yitian,38.58,Living
2024/7/20 17:52,Yilei,5.00,Living
2024/7/20 15:05,PDD,6.90,Shopping
2024/7/19 18:05,Meituan,21.20,Catering
2024/7/19 13:59,JD,82.90,Shopping
2024/7/18 18:18,Morning Glory,7.00,Shopping
2024/7/18 18:11,KSAMIYA,17.90,Catering
2024/7/18 16:16,Baidelai,3.00,Shopping
2024/7/17 18:01,Meituan,19.80,Catering
2024/7/17 13:40,Morning Glory,5.00,Shopping
2024/7/16 10:21,Baidelai,2.00,Shopping
2024/7/15 16:24,Beijing Charity Association,20.00,Contingency
2024/7/14 22:04,Zhang,1,Living
2024/7/14 20:02,Potstickers,8.00,Catering
2024/7/14 14:40,Morning Glory,2.00,Shopping
2024/7/13 20:55,Missa Ice City,6.00,Catering
2024/7/12 13:35,Morning Glory,2.00,Shopping
2024/7/12 7:55,Baidelai,3.00,Shopping
2024/7/11 9:01,Fangming,90.00,Living
2024/7/9 20:03,Wonton House,18.00,Catering
2024/7/9 7:53,Beef broth,10.00,Catering
2024/7/8 10:03,Beef broth,10.00,Catering
2024/7/6 13:22,Jiachen,195.00,Living
2024/7/6 12:59,DMALL,19.10,Shopping
2024/7/6 12:39,Meituan,22.80,Catering
2024/7/5 9:12,BUPT,4.50,Catering
2024/7/4 18:07,DMALL,14.80,Shopping
2024/7/4 17:38,BUPT,50.00,Living
2024/7/4 17:34,BUPT,2.00,Catering
2024/7/4 16:40,DMALL,1.50,Shopping
2024/7/4 12:34,Canteen,127.00,Catering
2024/7/3 20:02,DMALL,1.50,Shopping
2024/7/3 10:26,DMALL,1.50,Shopping
2024/7/2 22:49,DMALL,7.90,Shopping
2024/7/1 23:29,DMALL,2.90,Shopping
2024/7/1 10:13,Xiaodan,0.60,Living
2024/7/1 8:40,ICBC,8,Income
2024/6/30 21:40,DMALL,3.80,Shopping
2024/6/30 18:53,BUPT,12.00,Living
2024/6/30 17:47,Meituan,25.29,Catering
2024/6/30 16:10,Tencent,15.00,Entertainment
2024/6/30 8:55,Jiachen,994.00,Living
2024/6/29 19:10,Heytea,18.00,Catering
2024/6/27 19:30,Nayuki,14.00,Catering
2024/6/27 16:00,Meituan,21.00,Catering
2024/6/27 12:43,Beijing Railway Service,60.00,Catering
2024/6/27 7:42,BUPT,2.00,Catering
2024/6/27 7:41,BUPT,9.50,Catering
2024/6/26 23:29,Fruit shop,4.50,Shopping
2024/6/26 22:58,DMALL,1.50,Shopping
2024/6/26 20:17,DMALL,17.00,Shopping
2024/6/26 18:33,Meituan,27.10,Catering
2024/6/26 17:26,SF Express,15.00,Living
2024/6/26 12:14,Boshiju,65.00,Catering
2024/6/25 13:17,DMALL,16.50,Shopping
2024/6/24 18:19,Meituan,21.90,Catering
2024/6/24 13:02,DMALL,9.90,Shopping
2024/6/24 12:46,BUPT,6.00,Catering
2024/6/23 19:26,DMALL,16.24,Shopping
2024/6/23 18:58,BUPT,13.86,Catering
2024/6/23 16:34,DMALL,1.50,Shopping
2024/6/23 16:32,Fenbitianxia,0.15,Living
2024/6/23 12:03,BUPT,14.00,Catering
2024/6/22 19:48,BUPT,14.00,Catering
2024/6/22 15:36,Fenbitianxia,3.00,Living
2024/6/22 15:34,DMALL,1.50,Shopping
2024/6/22 12:56,DMALL,4.88,Shopping
2024/6/22 12:30,BUPT,12.00,Catering
2024/6/21 17:37,Meituan,22.51,Catering
2024/6/21 17:10,Fenbitianxia,1.50,Living
2024/6/20 23:18,DMALL,8.30,Shopping
2024/6/19 21:40,Fenbitianxia,1.35,Living
2024/6/19 18:47,DMALL,21.28,Shopping
2024/6/18 18:10,DMALL,2.50,Shopping
2024/6/17 22:52,DMALL,10.90,Shopping
2024/6/17 13:07,BUPT,100.00,Living
2024/6/17 13:04,BUPT,100.00,Living
2024/6/16 20:04,BUPT,24.00,Living
2024/6/16 18:17,Meituan,26.80,Catering
2024/6/16 13:16,DMALL,41.80,Shopping
2024/6/16 12:41,BUPT,16.00,Catering
2024/6/15 23:43,Meituan,24.30,Catering
2024/6/15 18:31,Meituan,23.80,Catering
2024/6/15 13:47,DMALL,3.90,Shopping
2024/6/14 18:44,Fruit shop,6.00,Shopping
2024/6/14 13:52,DMALL,12.90,Shopping
2024/6/14 13:51,DMALL,1.50,Shopping
2024/6/14 9:48,DMALL,10.40,Shopping
2024/6/13 12:33,Jiachen,38.00,Living
2024/6/13 10:21,BUPT,2.00,Catering
2024/6/13 10:19,BUPT,4.00,Catering
2024/6/13 10:00,Fenbitianxia,0.15,Living
2024/6/12 19:59,DMALL,6.50,Shopping
2024/6/12 13:19,DMALL,4.90,Shopping
2024/6/11 14:01,Gzz,1.20,Living
2024/6/11 12:41,DMALL,2.00,Shopping
2024/6/10 20:37,DMALL,3.90,Shopping
2024/6/10 19:52,DMALL,3.50,Shopping
2024/6/10 18:03,Meituan,22.90,Catering
2024/6/10 11:35,Meituan,26.50,Catering
2024/6/9 20:06,DMALL,3.50,Shopping
2024/6/9 18:23,Meituan,22.70,Catering
2024/6/9 12:19,Fruit shop,8.30,Shopping
2024/6/8 23:33,DMALL,16.90,Shopping
2024/6/7 19:28,Meituan,24.78,Catering
2024/6/7 11:35,Meituan,28.80,Catering
2024/6/6 13:32,Fruit shop,8.90,Shopping
2024/6/5 23:24,DMALL,7.90,Shopping
2024/6/5 19:22,Fruit shop,6.60,Shopping
2024/6/5 19:07,Jiayi,40.00,Living
2024/6/4 18:47,Fruit shop,8.70,Shopping
2024/6/4 11:59,Fenbitianxia,1.80,Living
2024/6/4 11:57,Fenbitianxia,9.00,Living
2024/6/3 13:38,Fenbitianxia,6.30,Living
2024/6/2 23:30,BUPT,100.00,Living
2024/6/2 17:59,Fruit shop,3.40,Shopping
2024/6/2 17:31,BUPT,200.00,Living
2024/6/2 17:30,BUPT,13.00,Catering
2024/6/2 11:12,BUPT,13.00,Catering
2024/6/1 23:45,Meituan,17.60,Catering
2024/6/1 17:11,DMALL,1.50,Shopping
2024/6/1 15:50,Jiachen,83.00,Living
2025/2/28 20:08,Roast duck shop,451.00,Catering
2025/2/28 17:02,Beijing All-in-One Card,20.00,Living
2025/2/28 16:53,Nail meatloaf,10.00,Catering
2025/2/26 16:36,Yiran,63.00,Living
2025/2/26 16:35,Wumart,12.00,Shopping
2025/2/25 20:21,Glenn,50.00,Living
2025/2/24 19:28,BUPT,200.00,Living
2025/2/24 18:27,BUPT,16.00,Catering
2025/2/24 11:45,BUPT,13.00,Catering
2025/2/24 11:27,Saike,50.00,Living
2025/2/23 19:20,BUPT,15.00,Catering
2025/2/23 13:42,Jiachen,279.00,Living
2025/2/21 6:43,Beef broth,10.00,Catering
2025/2/20 11:57,Xiaodan,0.40,Living
2025/2/17 12:59,Kitoka food store,25.00,Catering
2025/2/16 17:11,Anjia Fruit Company,4.00,Shopping
2025/2/15 12:43,Lo mein,13.90,Catering
2025/2/14 8:45,Beef broth,10.00,Catering
2025/2/13 12:56,Lee Kee Wonton House,15.50,Catering
2025/2/10 16:13,Missa Ice City,13.00,Catering
2025/2/10 8:44,Xiaojie Tianfu,6.00,Catering
2025/2/9 20:15,Yitian,39.00,Living
2025/2/9 20:14,Jiayin,23.15,Living
2025/2/9 20:14,Jiayin,41.17,Living
2025/2/9 12:25,Chekai food store,8.00,Catering
2025/2/2 16:40,Tencent,15.00,Entertainment
2025/2/1 8:40,ICBC,8,Income
2025/1/31 18:51,Missa Ice City,14.00,Catering
2025/1/28 19:57,Jiachen,8.88,Living
2025/1/27 18:15,Jiachen,225.00,Living
2025/1/27 17:21,Shangwen Department Store,2.00,Shopping
2025/1/27 9:52,Beef broth,10.00,Catering
2025/1/22 12:45,Chekai food store,26.00,Catering
2025/1/21 22:47,MaiMemo,25.00,Living
2025/1/21 9:39,Tofu soup,7.00,Catering
2025/1/17 19:24,Smart Charging Platform,3.00,Living
2025/1/16 12:40,Aviation restaurant supermarket,3.00,Shopping
2025/1/16 8:33,Beef broth,15.00,Catering
2025/1/15 17:31,CRNET,37.00,Living
2025/1/15 16:40,Beijing All-in-One Card,10.00,Living
2025/1/15 16:39,Beijing All-in-One Card,20.00,Living
2025/1/14 12:55,Jinguyuan Dumpling,8.00,Catering
2025/1/14 12:27,Jinguyuan Dumpling,80.00,Catering
2025/1/11 18:56,Jinlaishun,6.00,Catering
2025/1/11 18:42,Jinlaishun,30.00,Catering
2025/1/11 16:06,Glenn,35.00,Living
2025/1/11 13:58,Jianggutou,26.00,Catering
2025/1/10 19:04,Jiachen,291.00,Living
2025/1/8 18:57,Jiachen,57.00,Living
2025/1/5 18:21,Canteen,138.00,Catering
2025/1/4 11:38,BUPT,200.00,Living
2025/1/2 16:56,Tencent,15.00,Entertainment
2025/1/1 8:40,ICBC,8,Income
2024/12/31 18:30,Boshiju,10.00,Catering
2024/12/31 18:12,Boshiju,62.00,Catering
2024/12/26 14:16,Glenn,35.00,Living
2024/12/24 19:32,BUPT,200.00,Living
2024/12/24 18:14,BUPT,13.00,Catering
2024/12/17 16:26,Jiachen,14.50,Living
2024/12/17 16:26,Jiachen,42.00,Living
2024/12/17 16:26,Jiachen,44.41,Living
2024/12/17 16:26,Jiachen,43.50,Living
2024/12/17 16:25,Jiachen,11.08,Living
2024/12/17 16:25,Jiachen,187.00,Living
2024/12/17 16:25,Jiachen,18.15,Living
2024/12/17 16:25,Jiachen,4.95,Living
2024/12/17 16:25,Photo studio,15.00,Living
2024/12/17 10:33,Xiaodan,0.40,Living
2024/12/16 16:17,Luckin coffee,12.00,Catering
2024/12/15 20:14,BUPT,12.00,Living
2024/12/15 12:44,Jiachen,21.00,Living
2024/12/14 13:02,Wezheng,0.15,Shopping
2024/12/13 20:31,Glenn,35.00,Living
2024/12/11 12:56,BUPT,200.00,Living
2024/12/11 12:05,BUPT,9.50,Catering
2024/12/10 22:07,DMALL,5.20,Shopping
2024/12/10 18:47,DMALL,9.90,Shopping
2024/12/7 19:08,DMALL,13.80,Shopping
2024/12/7 13:13,DMALL,1.50,Shopping
2024/12/7 12:15,DMALL,6.00,Shopping
2024/12/7 0:13,JD,147.40,Shopping
2024/12/6 18:19,Jinguyuan Dumpling,24.00,Catering
2024/12/4 18:41,BUPT,13.00,Catering
2024/12/4 18:30,Wumart,7.00,Shopping
2024/12/4 12:04,DMALL,9.90,Shopping
2024/12/4 11:36,BUPT,15.80,Catering
2024/12/4 9:04,BUPT,6.50,Catering
2024/12/3 19:10,Fruit shop,3.00,Shopping
2024/12/3 18:19,Wumart,7.00,Shopping
2024/12/2 18:51,Tencent,15.00,Entertainment
2024/12/2 18:48,Jiachen,32.00,Living
2024/12/2 18:48,Jiachen,46.50,Living
2024/12/2 18:48,Jiachen,15.85,Living
2024/12/2 12:18,Fruit shop,1.90,Shopping
2024/12/1 19:25,BUPT,200.00,Living
2024/12/1 19:22,BUPT,14.00,Catering
2024/12/1 10:33,Meituan,69.78,Catering
2024/12/1 8:40,ICBC,8,Income
